Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
10/15/2024,,12:26:53PM,12:55:54PM,pool,50,oh1,goggles,,3.4.153

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Avg BPM (moving),Max BPM,Min BPM (resting),Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
10/15/2024,12:26:53PM,1,2x50,50,50,FR,0:51.07,0:00.00,0:51.07,1,50,50,1.16,135,154,0,1:42.14,0:51.07,93,51,42,42,9
10/15/2024,12:27:44PM,1,2x50,50,0,REST,0:00.00,0:07.83,0:58.90,1,0,50,0,0,157,155,0:00.00,0:00.00,0,0,0,0,1
10/15/2024,12:27:52PM,1,2x50,50,50,FR,1:03.25,0:00.00,2:02.15,1,50,100,0.93,161,163,0,2:06.42,1:03.21,113,48,50,50,15
10/15/2024,12:28:55PM,1,2x50,50,0,REST,0:00.00,0:16.23,2:18.38,1,0,100,0,0,162,161,0:00.00,0:00.00,0,0,0,0,0
10/15/2024,12:29:12PM,2,1x100,100,50,FR,1:06.76,0:00.00,3:25.15,1,50,150,0.93,160,162,0,2:13.51,1:06.76,118,46,51,51,15
10/15/2024,12:30:18PM,2,1x100,100,50,FR,1:10.32,0:00.00,4:35.47,1,50,200,0.85,168,173,0,2:20.65,1:10.32,126,49,56,56,17
10/15/2024,12:31:29PM,2,1x100,100,0,REST,0:00.00,0:22.61,4:58.08,1,0,200,0,0,173,165,0:00.00,0:00.00,0,0,0,0,1
10/15/2024,12:31:51PM,3,6x50,50,50,FR,1:04.83,0:00.00,6:02.92,1,50,250,0.91,168,173,0,2:09.70,1:04.85,117,49,52,52,16
10/15/2024,12:32:56PM,3,6x50,50,0,REST,0:00.00,0:24.58,6:27.50,1,0,250,0,0,173,170,0:00.00,0:00.00,0,0,0,0,2
10/15/2024,12:33:21PM,3,6x50,50,50,FR,1:05.55,0:00.00,7:33.04,1,50,300,0.91,168,175,0,2:11.06,1:05.53,118,48,52,52,17
10/15/2024,12:34:26PM,3,6x50,50,0,REST,0:00.00,0:42.15,8:15.20,1,0,300,0,0,175,152,0:00.00,0:00.00,0,0,0,0,3
10/15/2024,12:35:08PM,3,6x50,50,50,FR,0:50.83,0:00.00,9:06.03,1,50,350,1.19,162,172,0,1:41.63,0:50.81,92,48,41,41,12
10/15/2024,12:35:59PM,3,6x50,50,0,REST,0:00.00,0:41.57,9:47.60,1,0,350,0,0,180,172,0:00.00,0:00.00,0,0,0,0,3
10/15/2024,12:36:41PM,3,6x50,50,50,FR,1:04.58,0:00.00,10:52.18,1,50,400,0.9,175,181,0,2:09.20,1:04.60,119,50,54,54,17
10/15/2024,12:37:45PM,3,6x50,50,0,REST,0:00.00,0:38.02,11:30.20,1,0,400,0,0,184,170,0:00.00,0:00.00,0,0,0,0,2
10/15/2024,12:38:23PM,3,6x50,50,50,FR,1:06.24,0:00.00,12:36.45,1,50,450,0.87,171,183,0,2:12.45,1:06.23,122,50,56,56,17
10/15/2024,12:39:30PM,3,6x50,50,0,REST,0:00.00,0:22.19,12:58.63,1,0,450,0,0,183,177,0:00.00,0:00.00,0,0,0,0,1
10/15/2024,12:39:52PM,3,6x50,50,50,FR,1:06.28,0:00.00,14:04.91,1,50,500,0.91,174,178,0,2:12.63,1:06.31,119,48,53,53,18
10/15/2024,12:40:58PM,3,6x50,50,0,REST,0:00.00,0:19.51,14:24.42,1,0,500,0,0,180,177,0:00.00,0:00.00,0,0,0,0,1
10/15/2024,12:41:18PM,4,4x50,50,50,BR,1:11.09,0:00.00,15:35.51,1,50,550,1.49,173,177,0,2:22.25,1:11.12,103,27,32,32,18
10/15/2024,12:42:29PM,4,4x50,50,0,REST,0:00.00,0:05.55,15:41.06,1,0,550,0,0,174,174,0:00.00,0:00.00,0,0,0,0,0
10/15/2024,12:42:34PM,4,4x50,50,50,BR,1:18.91,0:00.00,16:59.97,1,50,600,1.42,173,174,0,2:37.73,1:18.86,113,26,34,34,21
10/15/2024,12:43:53PM,4,4x50,50,0,REST,0:00.00,0:07.64,17:07.61,1,0,600,0,0,173,172,0:00.00,0:00.00,0,0,0,0,1
10/15/2024,12:44:01PM,4,4x50,50,50,BR,1:16.79,0:00.00,18:24.41,1,50,650,1.5,171,174,0,2:33.61,1:16.80,109,26,32,32,19
10/15/2024,12:45:18PM,4,4x50,50,0,REST,0:00.00,0:05.28,18:29.68,1,0,650,0,0,171,170,0:00.00,0:00.00,0,0,0,0,0
10/15/2024,12:45:23PM,4,4x50,50,50,BR,1:17.93,0:00.00,19:47.61,1,50,700,1.48,172,175,0,2:35.76,1:17.88,110,25,32,32,20
10/15/2024,12:46:41PM,4,4x50,50,0,REST,0:00.00,0:12.21,19:59.82,1,0,700,0,0,174,173,0:00.00,0:00.00,0,0,0,0,1
10/15/2024,12:46:53PM,5,1x100,100,50,BR,1:13.45,0:00.00,21:13.27,1,50,750,1.46,168,173,0,2:26.84,1:13.42,106,27,33,33,18
10/15/2024,12:48:06PM,5,1x100,100,50,BR,1:21.97,0:00.00,22:35.24,1,50,800,1.43,175,177,0,2:43.93,1:21.97,116,25,34,34,22
10/15/2024,12:49:28PM,5,1x100,100,0,REST,0:00.00,0:39.37,23:14.61,1,0,800,0,0,174,152,0:00.00,0:00.00,0,0,0,0,2
10/15/2024,12:50:08PM,6,4x50,50,50,FR,1:06.67,0:00.00,24:21.28,1,50,850,0.9,167,176,0,2:13.33,1:06.67,120,48,53,53,17
10/15/2024,12:51:14PM,6,4x50,50,0,REST,0:00.00,0:19.52,24:40.79,1,0,850,0,0,177,174,0:00.00,0:00.00,0,0,0,0,1
10/15/2024,12:51:34PM,6,4x50,50,50,BR,1:13.70,0:00.00,25:54.50,1,50,900,1.54,168,173,0,2:27.49,1:13.75,105,26,31,31,18
10/15/2024,12:52:48PM,6,4x50,50,0,REST,0:00.00,0:38.68,26:33.18,1,0,900,0,0,170,149,0:00.00,0:00.00,0,0,0,0,2
10/15/2024,12:53:26PM,6,4x50,50,50,FR,1:05.99,0:00.00,27:39.17,1,50,950,0.93,162,175,0,2:11.93,1:05.96,116,47,50,50,15
10/15/2024,12:54:32PM,6,4x50,50,0,REST,0:00.00,0:16.75,27:55.92,1,0,950,0,0,178,175,0:00.00,0:00.00,0,0,0,0,0
10/15/2024,12:54:49PM,6,4x50,50,50,BR,1:05.47,0:00.00,29:01.39,1,50,1000,1.62,177,181,0,2:10.89,1:05.44,95,28,30,30,17
